,clue,exp,is_anagram,is_homophone,is_double,is_cryptic,is_contain,is_reverse,is_alternate,is_init,is_delete,is_charade,is_&lit,is_hidden,is_spoonerism,is_palindrome
37775,Strand House cook claimed by horrendous death peril ,  HEAT (“cook”) claimed by *(death peril) ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
53340,Classic art cheaply reproduced , (ART CHEAPLY)* [* = reproduced] ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
112970,  Rarely can it develop  set between others  ,"   INTERCALARY  - anagram of RARELY,IT,CAN   
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
101100, Opera 's premiere mostly gets hammered ," PETER GRIMES - (PREMIER{e} GETS*) [""hammered""]. Opera by Benjamin Britten. 
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
28308,Love all? Take less time and skill — mixed doubles , *(OO (t)AKE SKILL). “Doubles” is the well-concealed definition. ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
321,La Costa resort by the sea ," COASTAL : Anagram of(resort, as in “re-sort”) LA COSTA. Nicely compact clue. ",True,False,False,False,False,False,False,False,False,False,False,False,False,False
116692,  T-toast's out for  those obsessed with their figures ! ,"   STATTOS  -anagram('out') of TTOASTS. Informal word for statistician, particularly someone interested in the statistics of sport.   
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
116913,  Hard worker  heartless janitor's thrown out ,"   TROJAN  - Heartless JANITOR is JANTOR. Anagram it.   
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
21709,Indian fish has relocated in old lake , MAHSEER (has)* in meer ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
63803,"After fighting, Archers' cat gets cards ", CHARACTERS (ARCHERS CAT)* (*after fighting) ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
92243,Recital's tricky piece , (Recital)* ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
107159,  Writer  at home opening a punnet of nuts? ,"   FOUNTAIN PEN  - IN (at home) getting into (opening) *(A PUNNET OF) with ""nuts"" as the anagrind   
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
94749,"Please CO, cooking boneless slice of meat, cut thin ", Anagram of PLEASE CO ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
33508,telly broken not long ago , An anagram (broken) of A TELLY ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
111377,  Start off intensely worried about a  novel   ," EAST LYNNE  - ({i}NTENSELY*) about A. A rather gaudy-sounding Victorian bestseller by Ellen Wood, also made into a 1931 film. 
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
61142,Who thinks Rocky too tragic? ,(TOO TRAGIC)* ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
96244,After dreadful rant writer is given drug to calm down , (rant)* quill is E ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
78050,Girl's freshly dressed after abandoning foxtrot , (freshly)* – f (foxtrot) = SHERYL ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
13987,"Level, once he adjusted and engaged student "," ECHELON Anagram (‘adjusted’) of ONCE HE, with an included (‘engaged’) L for ‘Learner’, as in 17d. ",True,False,False,False,False,False,False,False,False,False,False,False,False,False
51120,Sure-fire winner? Cite Cary Grant in broadcast , (CITE CARY GRANT IN)* [* = broadcast] ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
81958,Strasburg constituency had Parisian almost blushing! , eu [French for had] roseat{e} 18 SHTETL Lettish (not Italian) translated for Jewish community (6) (Lettish – i)* ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
85275, Sponsor families in order to show a competent attitude , PROFESSIONALISM An anagram of SPONSOR FAMILIES – anagrind is ‘in order’ ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
90433,"Cog so pricy to fix, spinning as a ship's navigational aid, say? "," GYROSCOPIC Anagram [to fix] of COG SO PRICY 17,22 Elderly, compatible to some extent (7,2,1,3) GETTING ON A BIT Double definition ",True,False,False,False,False,False,False,False,False,False,False,False,False,False
93600,Range riders do create confusion , (RIDERS DO)* [* = range] ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
98290," Stage  right, Oscar to play guitar "," ROSTRUM - R O STRUM 2  Please understand  term gent now misused when feeding dog (4,3,2,5) DONT GET ME WRONG - anagram* of TERM GENT NOW in DOG 
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
116225,  Prelate reorganised  cloth folder  ,"   PLEATER  - i.e. someone who folds cloth.anagram('reorganised') of PRELATE   
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
28369,Game entangled in nets ,   (IN NETS)*    Down   ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
30530,Artist: with me around one sits fidgeting ," (a, sits*) in ME ",True,False,False,False,False,False,False,False,False,False,False,False,False,False
130865,  Most stylish  female in office ,"   POSHEST  - SHE(female) in POST(office)   3   No sons of gloom will be excited by  this set of love poems  (4,2,7)   SONG OF SOLOMON  - anagram of NO,SONS,OF,GLOOM   
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
14975,Characterised by misfortune and horribly drawn out , UNTOWARD : Anagram of(horribly) DRAWN OUT. ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
131618,  Latest of restrictions in force  affected   trees  ,"   CONIFERS  - (S IN FORCE)*, the S from end of restrictionS.   
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
70140,"Uses the fitting room in store, maybe ", anagram (maybe) of IN STORE – a apt anagram ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2271,Ealing production that's good-humoured , GENIAL An anagram (‘production’) of ‘ealing’. ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
58197,No bias deployed in this European region , BOSNIA (NO BIAS)* (*deployed) ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
19725,Biblical judge required? Dig one out ,(DIG ONE)* ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
64548,America almost bombed disputed territory ," disputed territory / anag, i.e. bombed, of AMERIC(A) (almost all of America) ",True,False,False,False,False,False,False,False,False,False,False,False,False,False
6830,Aware ten is ten? Could be! ,   (TEN IS TEN)* [* = could be]    ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
23425,"Securing entry somehow, back Anfield fans to go up across country ", PONY TREK (entry)* in (Kop)rev. — up refers to up on a horse — no doubt someone will tell me that Kop refers to Anfield fans and not just a part of the ground ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
132,Great golfer superior to these messing about ," PETER OOSTERHUIS *(SUPERIOR TO THESE) for Peter A. Oosterhuis, 65, an English professional golfer and golf analyst. Can I take it that the convention of not clueing living people is only applicable to The Times? ",True,False,False,False,False,False,False,False,False,False,False,False,False,False
82960,"Defect with Miles, Dicky and Henry after start of back-stabbing "," BLEMISH : [ Anagram of(…, Dicky) MILES plus(and) H(abbrev. for the Henry, in physics, a unit of electrical inductance) ] placed after(after) the 1st letter of(start of) “back-stabbing“.  ",True,False,False,False,False,False,False,False,False,False,False,False,False,False
104079,  Hard worker  heartless janitor's thrown out ,"   TROJAN  - Heartless JANITOR is JANTOR. Anagram it.   
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
6529, Online image maker madehappy ,  Anagram of (happy) MADE WBC WEBCAM* D  WEBCAM (small digital video camera attached to a computer that can be used to send visual images across the Internet; online image maker)  ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
129105," Stage  right, Oscar to play guitar "," ROSTRUM - R O STRUM 2  Please understand  term gent now misused when feeding dog (4,3,2,5) DONT GET ME WRONG - anagram* of TERM GENT NOW in DOG 
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
3028,Stop leaving African pigs standing up in bedding material ,  Rev(warthogs(African pigs) – ho (stop)) = STRAW E 25 Expounder of the law (corrupt male) not about to enter United Arab Emirates (5)  (male-a)* in uae (united arab emirates) = ULEMA  ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
117575,  Snack  costs — a top rip off ,"   POTATO CRISPS  - a simple anagram to kick off with: COSTS A TOP RIP rearranged ('off'). Reminds me of the famous graffitoanagramback in the 70s: CATS LIKE PLAIN CRISPS.Those were the days.   
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
46652, Some hint about becoming a pub landlord? , MINE HOST An anagram of SOME HINT – anagrind is ‘about’ ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
71823,Depot uses hooter indiscriminately , – STOREHOUSE (depot) – USESHOOTER* – anagram of (indiscriminately) uses and hooter ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
63122,Sliced thin bread — a demise for loaf? ,  “loaf” being slang for ‘head’(thin bread a)* ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
14404,Bad editing will get one fired up , Anagram of EDITING ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
119143,  Latest of restrictions in force  affected   trees  ,"   CONIFERS  - (S IN FORCE)*, the S from end of restrictionS.   
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
